Id,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena
1,1,41,5,4,52,30,33
2,2,9,39,37,49,43,41
3,3,36,30,10,11,29,47
4,3,36,30,10,11,29,47
5,4,6,59,42,27,1,5
6,5,1,19,46,6,16,2
7,6,19,40,7,13,22,47
8,7,56,38,21,20,3,5
9,8,53,17,38,4,47,37
10,9,55,43,56,54,8,60
11,10,25,4,18,57,21,38
12,11,25,15,58,37,59,38
13,12,20,27,43,16,19,4
14,13,47,32,50,54,18,56
15,14,16,2,27,47,23,53
16,15,60,12,33,52,35,51
17,16,60,58,49,32,20,34
18,17,10,20,6,19,51,13
19,18,37,36,56,27,42,23
20,19,5,25,12,10,60,24
21,20,25,28,30,33,51,11
22,21,49,46,6,53,33,36
23,22,9,38,56,1,31,46
24,23,17,52,51,59,39,37
25,24,1,8,14,28,33,43
26,25,56,50,55,54,24,43
27,26,50,53,57,10,58,22
28,27,44,33,13,51,17,20
29,28,60,6,22,3,24,54
30,29,14,56,58,8,43,3
31,30,38,50,7,29,15,14
32,31,56,19,28,48,17,45
33,32,43,33,14,36,5,44
34,33,5,33,49,17,42,39
35,34,15,13,57,53,40,17
36,35,21,57,16,23,54,4
37,36,13,3,51,17,29,25
38,37,22,6,7,52,38,60
39,38,55,42,10,43,45,54
40,39,16,37,45,52,56,12
41,40,3,12,46,5,47,8
42,41,38,26,35,39,12,47
43,42,24,36,19,33,7,11
44,43,2,58,25,6,26,17
45,44,47,38,18,14,29,44
46,45,30,7,37,55,44,53
47,46,32,46,1,60,24,23
48,47,35,17,3,48,25,56
49,48,47,5,34,28,2,50
50,49,33,7,43,35,13,55
51,50,57,44,21,16,58,6
52,51,23,24,42,25,17,47
53,52,58,15,59,30,38,46
54,53,42,13,3,46,38,16
55,54,5,21,9,56,18,36
56,54,5,21,9,56,18,36
57,55,29,2,14,38,23,52
58,56,51,35,59,7,20,2
59,57,27,17,16,34,7,59
60,58,30,49,27,37,12,44
61,59,28,13,34,2,8,54
62,60,38,14,21,15,3,20
63,61,59,8,18,29,42,44
64,62,52,13,6,24,8,31
65,63,26,9,41,49,25,40
66,64,8,54,50,60,23,12
67,65,20,1,5,32,25,34
68,66,15,26,12,33,48,13
69,67,47,14,27,52,17,12
70,68,53,13,3,1,12,59
71,69,56,58,34,53,25,45
72,70,40,17,23,43,27,58
73,71,53,16,45,43,33,27
74,72,19,48,43,1,34,44
75,73,57,25,45,28,51,26
76,74,2,24,34,50,38,37
77,75,36,49,37,35,24,21
78,76,33,18,23,8,17,53
79,77,29,54,40,57,49,21
80,78,22,32,46,12,25,31
81,79,43,25,2,13,31,17
82,80,51,40,37,23,48,28
83,81,47,41,10,60,54,23
84,82,51,36,53,29,18,15
85,83,24,16,4,42,57,15
86,84,10,34,4,6,25,40
87,85,47,15,30,37,45,6
88,86,54,21,6,34,36,22
89,87,40,4,28,32,11,5
90,88,45,37,29,4,43,18
91,89,59,42,34,13,44,55
92,90,21,26,40,54,9,52
93,91,60,4,10,35,39,2
94,92,5,23,51,3,1,24
95,93,22,53,31,28,2,36
96,94,28,51,55,18,52,8
97,95,46,60,6,40,50,45
98,96,4,42,58,26,7,40
99,97,56,53,11,14,5,35
100,98,43,33,14,31,35,13
101,99,30,33,24,11,46,60
102,100,46,48,30,14,29,51
103,101,39,1,37,31,29,18
104,102,44,42,37,56,19,20
105,103,9,1,57,7,54,49
106,104,13,1,38,21,52,4
107,105,3,13,31,43,46,49
108,106,24,16,38,5,39,35
109,107,2,24,52,4,16,51
110,108,60,29,34,24,21,59
111,109,54,13,44,49,48,1
112,110,57,58,18,31,43,52
113,111,52,32,4,33,25,22
114,112,37,43,34,20,12,42
115,113,34,54,26,28,55,7
116,114,47,54,18,6,12,37
117,115,6,14,24,20,4,38
118,116,36,42,32,5,13,51
119,117,53,42,27,20,33,25
120,118,22,57,37,9,25,56
121,119,47,21,1,50,36,38
122,120,46,45,16,40,27,3
123,121,53,41,44,2,29,55
124,122,20,43,39,11,53,17
125,123,13,42,16,32,14,26
126,124,52,5,34,57,15,41
127,125,56,47,25,59,53,41
128,126,32,28,6,10,11,40
129,127,59,21,51,54,29,50
130,128,23,43,3,21,9,18
131,129,46,54,10,9,1,32
132,130,13,42,38,49,53,29
133,131,30,9,17,27,4,44
134,132,44,35,50,41,9,7
135,133,19,57,6,39,34,5
136,134,60,32,25,36,52,4
137,135,35,40,21,59,53,22
138,136,17,25,45,38,1,59
139,137,26,15,16,22,19,49
140,138,41,14,37,5,40,27
141,139,26,27,13,42,41,3
142,140,55,31,46,44,41,7
143,141,10,22,42,13,41,58
144,142,20,59,19,54,15,8
145,143,40,18,6,20,50,53
146,144,8,32,44,36,45,55
147,145,43,15,41,51,16,31
148,146,51,34,25,60,42,32
149,147,24,6,38,23,28,16
150,148,32,55,59,41,58,35
151,149,11,45,48,7,28,20
152,150,50,44,12,55,52,54
153,151,3,43,16,56,52,20
154,152,12,5,15,51,58,29
155,153,47,2,31,42,45,30
156,154,8,10,24,33,45,48
157,155,12,32,44,43,35,30
158,156,52,23,42,17,55,49
159,157,17,13,4,44,41,21
160,158,58,43,51,14,17,4
161,159,16,9,50,58,11,35
162,160,13,42,52,58,2,54
163,161,25,37,30,39,6,41
164,162,23,33,51,38,48,21
165,163,41,56,27,36,53,8
166,164,4,19,14,10,44,28
167,165,39,56,19,23,10,35
168,166,60,57,59,13,12,22
169,167,1,38,48,28,11,33
170,168,45,2,35,9,50,31
171,169,52,51,37,13,21,1
172,170,7,51,55,41,58,46
173,171,54,27,4,43,40,46
174,172,49,36,14,26,35,10
175,173,29,28,49,17,42,50
176,174,11,52,22,23,36,59
177,175,10,20,13,1,42,50
178,176,28,4,1,45,53,3
179,177,35,22,39,41,59,38
180,178,5,27,19,26,15,33
181,179,6,53,5,26,27,23
182,180,39,6,29,60,51,23
183,181,33,1,55,35,51,27
184,182,46,60,5,10,28,3
185,183,16,11,7,40,44,2
186,184,9,60,21,16,41,34
187,185,59,17,22,46,43,55
188,186,24,26,51,25,14,23
189,187,6,44,58,41,36,48
190,188,34,42,43,46,27,17
191,189,41,53,38,4,31,15
192,190,32,40,42,21,10,5
193,191,58,5,41,3,1,23
194,192,1,60,26,41,28,54
195,193,12,4,11,49,43,19
196,194,32,42,43,25,28,33
197,195,17,3,44,37,9,32
198,196,32,17,9,14,24,7
199,197,19,52,29,15,12,5
200,198,40,23,1,18,35,8
201,199,52,37,57,16,10,50
202,200,12,15,44,34,51,19
203,201,55,22,5,30,35,20
204,202,49,53,44,12,24,45
205,203,11,55,44,19,29,47
206,204,31,41,51,39,58,29
207,205,26,32,54,43,46,40
208,206,20,26,56,18,34,51
209,207,19,7,3,55,24,53
210,208,23,15,57,24,47,25
211,209,13,52,32,41,21,26
212,210,37,58,20,38,48,32
213,211,10,20,40,45,50,33
214,212,29,57,15,45,59,6
215,213,3,30,9,35,23,32
216,213,3,30,9,35,23,32
217,213,3,30,9,35,23,32
218,214,30,12,6,50,35,31
219,215,7,58,28,53,37,46
220,216,35,42,59,18,30,14
221,216,35,42,59,18,30,14
222,216,35,42,59,18,30,14
223,216,35,42,59,18,30,14
224,217,27,32,3,51,49,45
225,218,54,40,42,17,47,12
226,219,26,23,49,28,42,36
227,220,36,53,55,13,60,14
228,221,54,13,58,43,50,27
229,222,5,48,30,55,52,19
230,223,28,24,22,2,58,6
231,224,20,16,18,7,44,21
232,225,21,16,4,37,2,58
233,226,2,50,59,38,49,1
234,227,37,26,27,42,11,48
235,228,16,40,45,59,43,13
236,229,39,45,11,21,33,13
237,230,56,44,41,40,8,53
238,231,16,59,27,42,44,36
239,232,29,19,41,22,37,59
240,233,45,3,24,36,7,32
241,233,45,3,24,36,7,32
242,233,45,3,24,36,7,32
243,233,45,3,24,36,7,32
244,233,45,3,24,36,7,32
245,234,15,45,54,25,42,41
246,235,29,41,55,2,31,22
247,236,10,52,50,57,25,60
248,237,36,7,45,31,56,57
249,238,15,9,41,13,37,42
250,238,15,9,41,13,37,42
251,238,15,9,41,13,37,42
252,238,15,9,41,13,37,42
253,239,33,21,44,46,47,6
254,240,59,28,25,41,57,38
255,241,11,57,40,35,56,31
256,242,22,7,4,21,28,56
257,243,20,47,23,32,16,11
258,244,19,60,50,24,47,33
259,245,44,51,27,53,8,60
260,245,44,51,27,53,8,60
261,245,44,51,27,53,8,60
262,246,2,57,32,43,16,37
263,247,34,3,30,10,23,46
264,248,56,16,34,41,35,32
265,249,21,55,54,40,36,49
266,250,55,25,41,42,43,7
267,251,34,15,23,55,49,30
268,252,17,54,4,51,32,26
269,252,17,54,4,51,32,26
270,253,12,11,56,44,24,37
271,254,4,30,56,21,22,1
272,255,32,44,55,19,20,16
273,256,21,52,34,26,2,32
274,257,28,5,1,34,4,19
275,258,12,60,54,7,55,50
276,259,20,43,33,13,15,58
277,260,43,4,60,59,6,33
278,261,5,54,20,56,30,16
279,262,53,60,48,20,58,11
280,263,8,50,26,9,53,43
281,264,5,25,31,13,1,33
282,264,5,25,31,13,1,33
283,265,7,50,53,16,41,34
284,266,38,54,48,23,2,46
285,267,58,1,45,55,8,46
286,268,21,10,47,6,5,33
287,269,19,18,52,25,17,49
288,270,45,27,35,40,5,9
289,271,14,31,54,29,26,24
290,272,36,58,9,10,56,24
291,273,47,52,10,27,23,17
292,274,11,39,47,18,13,26
293,275,16,30,19,38,48,37
294,276,53,59,39,45,22,57
295,277,40,26,38,4,56,52
296,278,22,10,18,55,15,31
297,279,31,59,4,58,23,47
298,280,5,16,30,25,58,20
299,281,11,5,47,31,53,38
300,282,33,24,36,9,14,23
301,283,48,34,28,54,25,42
